City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Butaritari,KI,82.11,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
5,Guerrero Negro,MX,80.6,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
8,Panama City,PA,87.13,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
10,Corn Island,NI,82.62,overcast clouds,12.1694,-83.0418,Big Fish Guest House
13,Kamsack,CA,77.72,clear sky,51.5667,-101.9009,Liquor Store Kamsack & Woodlander Hotel
15,Kutum,SD,79.29,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
34,Padang,ID,76.82,overcast clouds,-0.9492,100.3543,Mercure Padang
38,Georgetown,MY,81.95,thunderstorm,5.4112,100.3354,Cititel Penang
42,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Hithadhoo,MV,81.97,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Sibolga,ID,76.41,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
46,Kavieng,PG,81.88,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
48,Kapaa,US,82.47,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
66,Faanui,PF,78.28,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
68,Doha,QA,88.11,clear sky,25.2867,51.5333,Mövenpick Doha
74,Cayhagan,PH,77.95,overcast clouds,9.6697,122.4256,Melrose Beach Resort
84,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
94,Buala,SB,78.39,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
95,Meadow Lake,US,78.67,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
106,Piracanjuba,BR,85.69,overcast clouds,-17.3028,-49.0167,Casas Luci
112,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Pousada Camboinha
114,Half Moon Bay,US,78.82,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
124,Atuona,PF,76.66,scattered clouds,-9.8,-139.0333,Villa Enata
128,Sao Filipe,CV,80.49,clear sky,14.8961,-24.4956,Hotel Xaguate
130,Umm Lajj,SA,85.73,clear sky,25.0213,37.2685,Moon light Furnished Units
133,Matara,LK,77.25,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
134,Pacific Grove,US,77.38,clear sky,36.6177,-121.9166,Lovers Point Inn
143,San Patricio,US,87.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
146,Victoria,HK,84.38,light rain,22.2855,114.1577,Mini Central
147,Eyl,SO,77.68,overcast clouds,7.9803,49.8164,EYL AQUE SYSTEM
149,Kirakira,SB,78.31,few clouds,-10.4544,161.9205,SanBiz Lodge
152,Dickinson,US,85.01,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
153,Dafeng,CN,76.12,overcast clouds,23.4517,108.5881,Shenglong Hotel
160,Bubaque,GW,80.6,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
162,Acapulco,MX,84.81,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
163,Ewa Beach,US,83.41,few clouds,21.3156,-158.0072,Base Lodging
164,Axim,GH,75.52,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
166,Luorong,CN,79.45,overcast clouds,24.4058,109.6086,荣立大酒店
168,Misratah,LY,79.09,clear sky,32.3754,15.0925,Almasa Hotel
172,Hobyo,SO,77.0,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
174,Balikpapan,ID,77.99,broken clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
181,Koungheul,SN,86.79,scattered clouds,13.9833,-14.8,hotel le PARADIS
184,Saint George,US,86.79,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
188,San Quintin,MX,76.6,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
189,Benghazi,LY,81.0,overcast clouds,32.1167,20.0667,Tibesti Hotel
191,Kudahuvadhoo,MV,78.78,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
201,Hilo,US,86.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
213,Taungdwingyi,MM,77.52,light rain,20.0167,95.55,NayNaing MobileService
216,Ixtapa,MX,88.23,overcast clouds,20.7,-105.2,hotel la terminal
218,Kalmunai,LK,79.79,scattered clouds,7.4167,81.8167,VS Villa
219,Ambulu,ID,76.35,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
227,Kloulklubed,PW,83.93,clear sky,7.0419,134.2556,Storyboard Beach Resort
