City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,61.74,100,100,3.44,thunderstorm with rain
1,Raudeberg,NO,61.9875,5.1352,52.47,42,35,9.4,scattered clouds
2,Vaini,TO,-21.2,-175.2,71.76,83,20,8.05,few clouds
3,Butaritari,KI,3.0707,172.7902,82.11,75,100,17.49,overcast clouds
4,Alice Springs,AU,-23.7,133.8833,57.22,39,100,5.75,overcast clouds
5,Guerrero Negro,MX,27.9769,-114.0611,80.6,62,0,9.64,clear sky
6,Maraa,BR,-1.8333,-65.3667,99.19,29,97,3.87,overcast clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,100,20.71,overcast clouds
8,Panama City,PA,8.9936,-79.5197,87.13,74,40,12.66,scattered clouds
9,Cape Town,ZA,-33.9258,18.4232,62.1,85,20,12.66,few clouds
10,Corn Island,NI,12.1694,-83.0418,82.62,73,98,2.68,overcast clouds
11,Hermanus,ZA,-34.4187,19.2345,59.81,82,100,9.91,overcast clouds
12,Shingu,JP,33.7333,135.9833,67.37,91,5,4.76,clear sky
13,Kamsack,CA,51.5667,-101.9009,77.72,28,1,6.58,clear sky
14,Toshkivka,UA,48.7791,38.579,66.09,59,100,3.67,overcast clouds
15,Kutum,SD,14.2,24.6667,79.29,42,58,13.02,broken clouds
16,Punta Arenas,CL,-53.15,-70.9167,55.51,44,40,23.02,scattered clouds
17,Nikolskoye,RU,59.7035,30.7861,46.8,96,100,4.83,overcast clouds
18,Shenjiamen,CN,29.9576,122.298,74.95,85,97,6.33,overcast clouds
19,Mahebourg,MU,-20.4081,57.7,70.09,78,40,10.36,scattered clouds
20,Darhan,MN,49.4867,105.9228,43.05,91,100,3.78,overcast clouds
21,Tanete,ID,-3.9443,119.7848,74.55,93,55,1.36,moderate rain
22,Ribeira Grande,PT,38.5167,-28.7,70.2,60,75,9.22,broken clouds
23,Ambunti,PG,-4.2365,142.8448,72.18,99,100,1.01,overcast clouds
